Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Seasonal Collection | Top Markets NEW,2025-10-16,Seasonal Vacation | Azurae Haul | Logo Only | PR Content,1841692986014721,Seasonal Vacation New,1843521934687266,1843521934688258,0.37,27,0,1.23,0,19,1,0,0,0,0,0,0.84,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-14,PR Content GRWM Yasmin Bright Celestia | TikTok | ED: 31/12/2025,1842332114924626,Cold #3 - 24/9/2025,1844242652257410,1844857897167010,0.37,19,4,1.58,0,30,15,15,12,13,15,15,6.95,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-19,PR Content Emerson GRWM Yasmin Bright | TikTok | ED: 19/11/2025,1839260774432785,Cold #1 - 8/1/2025,1839260774432801,1841053612457281,0.37,86,1,2.32,0,86,23,3,0,1,4,11,1.76,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-16,Babyboo Suiting Vol 1 Launch | TikTok | ED: 19/12/2025,1842431186105393,Cold #2 - 12/9/2025,1843043473858705,1843695881295969,0.37,106,0,1.03,0,105,8,4,0,0,1,4,1.35,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-18,Samira Blush Pan Up | TikTok | ED: 13/11/2025,1839252302887954,Cold #1 - 8/1/2025,1839260625409089,1840528442557474,0.37,61,1,1.02,0,62,10,3,0,1,3,8,1.57,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-15,PR Content Maliyah Jey_Mar | TikTok | ED: 12/11/2025,1839260774432785,Cold #1 - 8/1/2025,1839260774432801,1840527827895346,0.37,76,0,1.01,0,80,12,4,4,4,5,9,1.58,0,0.00,AUD
Seasonal Collection | Europe,2025-10-13,Seasonal Birthday | PR UGC Style  | Logo Only | PR Content,1834056143155217,Seasonal Birthday,1834056143164577,1843527170646018,0.37,51,1,1.02,0,51,12,7,0,0,0,1,2.20,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-19,Fable & Alaia Red GRWM Dressing | TikTok | ED: 14/11/2025,1839252302887954,Cold #1 - 8/1/2025,1839260625409089,1840531620375618,0.37,47,1,1.52,0,48,13,3,1,1,2,9,2.23,0,0.00,AUD
Seasonal Collection | ROW,2025-10-15,Seasonal Wedding Guest | Ad | Video | PR/Influencer | Product | Talking | Tallulah Maxi Olive,1834055653054577,Seasonal Wedding NEW,1834055661628818,1845499458594897,0.37,8,0,1.00,0,8,2,0,0,0,0,0,1.34,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - US,2025-10-18,PR Content Isabella Garwood Lorelei | TikTok | ED: 28/11/2025,1841504151797777,Cold #2 - 8/22/2025,1841504151797793,1841871999396881,0.37,35,1,1.00,0,34,6,2,0,1,2,4,1.75,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-13,Maliyah Blue Pan Up | TikTok | ED: 3/11/2025,1839252302887954,Cold #1 - 8/1/2025,1839260625409089,1839666495300689,0.37,64,0,1.00,0,66,20,6,4,6,12,21,2.46,0,0.00,AUD
